$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
64 -1.144e-02  2.033e-02  7.080e-03  5.912e-03 -3.381e-02 -4.734e-03  2.054e-08  2.203e-08  1.083e-09  1.006e-09    0.1606    0.1627   -0.4516    0.2707 -1.406e-02 -2.913e-02    3.1416    3.1416  4.910e-20 -7.529e-24    3.1416  4.910e-20  110.0000 1
65  1.995e-02 -1.435e-02 -1.321e-02 -5.816e-03 -3.950e-02  2.905e-02  2.010e-08  2.335e-08  9.363e-10  7.050e-10 -8.596e-02    0.2101  4.847e-02  4.206e-02 -1.721e-02   -0.5123    3.1416    3.1416 -1.205e-21 -7.656e-25    3.1416 -1.205e-21  110.0000 1
66 -4.094e-03  1.144e-02 -1.365e-03  1.505e-02  1.755e-02  4.312e-03  2.130e-08  2.452e-08  7.816e-10  9.753e-10    0.4353   -0.1571    0.4496 -4.216e-02   -0.4760   -0.3550    3.1416    3.1416 -3.759e-21  3.854e-22    0.7413 -3.759e-21  110.0000 1
67 -8.787e-03  3.059e-02 -1.826e-02 -6.786e-03 -2.951e-02  1.348e-02  1.935e-08  2.469e-08  1.135e-09  8.838e-10   -0.1038  3.935e-02   -0.4522 -7.834e-03 -3.884e-02   -0.6875    3.1416    3.1416  3.344e-21 -4.962e-25    3.1416  3.344e-21  110.0000 1
68 -3.177e-02 -3.702e-02 -1.472e-02  2.007e-02  1.000e-02  1.885e-02  2.394e-08  2.204e-08  1.020e-09  1.020e-09  4.087e-02    0.2897   -0.2069  6.358e-02 -7.978e-02    0.1640    3.1416    3.1416  2.327e-20 -9.442e-25    3.1416  2.327e-20  110.0000 1
69  1.507e-02 -1.930e-02 -1.415e-03  9.910e-03  1.038e-02 -2.280e-02  2.335e-08  1.933e-08  1.101e-09  9.146e-10    0.4631 -7.164e-02   -0.1410  8.419e-02    0.3559   -0.3677    3.1416    3.1416 -9.352e-17 -6.846e-21    3.1416 -9.352e-17  110.0000 1
70 -4.631e-03 -6.605e-03 -6.631e-03 -2.930e-03 -2.042e-02  1.731e-02  1.981e-08  2.285e-08  1.063e-09  1.015e-09   -0.3158    0.2627  3.473e-02   -0.6896 -6.047e-02   -0.1570    3.1416    3.1416  1.481e-19  1.778e-24    3.1416  1.481e-19  110.0000 1
71 -6.653e-03 -1.330e-02  1.892e-03 -9.285e-03  6.776e-03 -1.530e-02  2.160e-08  1.978e-08  1.014e-09  9.080e-10   -0.5013 -8.370e-02 -1.808e-02   -0.5821   -0.1827   -0.3019    3.1416    3.1416 -4.944e-21 -1.252e-22    3.1416 -4.944e-21  110.0000 1
72  3.339e-02  1.808e-03 -4.000e-02  2.148e-02 -1.988e-02  7.411e-03  1.958e-08  2.090e-08  1.056e-09  1.045e-09    0.1328 -7.931e-02   -0.3442    0.3489  8.153e-05   -0.4509    3.1416    3.1416  3.036e-19  1.857e-22    3.1416  3.036e-19  110.0000 1
73  6.344e-03  1.721e-03 -6.694e-03  5.275e-03 -4.166e-02  1.990e-02  2.163e-08  1.916e-08  9.059e-10  8.512e-10    0.3483    0.2573   -0.1233  2.474e-02   -0.3088    0.6532    3.1416    3.1416  4.436e-17  1.200e-18    3.1416  4.436e-17  110.0000 1
